zip_code,vehicles,lat,lon
90000,61.0,35.21463,33.34315
90001,22364.0,48.33925,17.31092
90002,19570.0,48.3465,17.33428
90003,28686.0,1.27867,103.81753
90004,19824.0,1.27876,103.81844
90005,9292.0,1.27872,103.81922
90006,17448.0,1.27815,103.81847999999998
90007,7077.0,1.27836,103.81938
90008,7493.0,1.2778,103.81934
90010,4407.0,1.27773,103.81977
90011,43468.0,1.27737,103.81864
90012,22403.0,1.27719,103.81952
90013,825.0,1.27816,103.82048
90014,585.0,1.2774,103.82047
90015,4841.0,1.27706,103.82076
90016,17354.0,1.27805,103.8215
90017,4239.0,1.2777700000000003,103.8217
90018,17627.0,1.27791,103.82254
90019,23638.0,1.27746,103.82265
90020,10047.0,1.27692,103.82182
90021,282.0,48.25252,17.21271
90022,28379.0,1.27656,103.81982
90023,16741.0,48.27146,17.30301
90024,9085.0,48.21516,17.3606
90025,17945.0,48.2267,17.25501
90026,22828.0,48.25118,17.27247
90027,15189.0,48.19629,17.30145
90028,7236.0,48.18603,17.25619
90029,9001.0,48.1838,17.3554
90032,16591.0,48.2628,17.08669
90033,13643.0,48.24833,17.05734
90034,21971.0,1.27352,103.82248
90035,8169.0,1.27302,103.82212
90036,12991.0,1.27261,103.82203
90037,22422.0,1.27267,103.82288000000001
90038,6687.0,1.27233,103.82221000000001
90039,9681.0,1.27175,103.82251
90040,3148.0,1.2721,103.82325
90041,7887.0,48.09707,17.23995
90042,23542.0,48.08264,17.26603
90043,15430.0,48.03893,17.2528
90044,38350.0,48.14407,17.33557
90045,86226.0,48.154019999999996,17.29635
90046,19611.0,48.13872,17.27573
90047,19858.0,33.95809,-118.30874000000001
90048,6138.0,34.07247,-118.37241
90049,15782.0,35.72321,45.35329
90051,87.0,48.31916,16.98274
90053,23.0,48.36713,17.14665
90054,67.0,48.3482,17.09902
90056,930.0,33.98637,-118.37136
90057,9634.0,22.68875,120.50037
90058,705.0,34.00291,-118.22897
90059,14450.0,33.9279,-118.24773999999998
90061,7938.0,48.46806,16.92482
90062,10321.0,48.4463,16.98069
90063,29624.0,48.41483,16.92471
90064,9906.0,48.40755000000001,16.86063
90065,18155.0,48.38124,16.85096
90066,23445.0,48.32932,16.91256
90067,887.0,48.36439,16.97444
90068,6412.0,48.374089999999995,17.00249
90069,5979.0,34.09206,-118.38112999999998
90071,62.0,22.68398,120.47624
90077,2191.0,22.67739,120.4777
90089,50.0,48.39876,17.35833
90094,1660.0,33.97418,-118.42122
90095,54.0,34.06974,-118.44233000000001
90201,45702.0,48.29458,17.26335
90202,14.0,-34.42019,-56.42548
90210,9381.0,25.41068,66.6622
90211,1931.0,34.06503,-118.38381
90212,3231.0,34.06204,-118.40074
90220,21867.0,33.88802,-118.23989000000002
90221,23251.0,33.89434,-118.20447
90222,10098.0,33.91151,-118.23671
90230,11029.0,33.99619,-118.39861999999998
90232,3822.0,34.01836,-118.39454
90240,9545.0,33.95708,-118.11850000000001
90241,19489.0,33.94109,-118.13007999999999
90242,18050.0,33.92106,-118.14188
90245,4959.0,33.92405,-118.40369
90247,20821.0,33.89143,-118.29721
90248,4633.0,33.87636,-118.28647
90249,9599.0,33.90001,-118.31882000000002
90250,48676.0,55.58755,21.39274
90254,5620.0,33.86508,-118.39661
90255,30154.0,33.97576,-118.21721
90260,11979.0,33.88789,-118.35127
90262,30660.0,33.92404,-118.20111
90265,3893.0,34.04962,-118.76662
90266,16066.0,33.89002,-118.4009
90270,8211.0,33.98878,-118.18803
90272,9202.0,55.81646,22.02477
90274,12208.0,33.78114,-118.37586
90275,22078.0,33.76069,-118.36144000000002
90277,15156.0,33.8289,-118.38299999999998
90278,17813.0,33.87057,-118.37240999999999
90290,577.0,34.09863,-118.60689
90291,6808.0,33.99324,-118.46388
90292,8668.0,33.98,-118.45212
90293,2012.0,33.95762,-118.44103
90301,44213.0,48.21842,17.39756
90302,7799.0,55.758770000000005,21.853
90303,6652.0,55.72694,21.91492
90304,8120.0,55.69833,21.93508
90305,2286.0,55.65174,21.87714
90401,2045.0,48.75149,17.5623
90402,2249.0,34.03575,-118.50300999999999
90403,7533.0,34.03142,-118.48994
90404,5430.0,34.02718,-118.47428999999998
90405,8539.0,34.01079,-118.47097
90501,22347.0,48.67865,17.36307
90502,5517.0,33.83082,-118.29333
90503,21562.0,33.83967,-118.35501000000001
90504,13916.0,33.87021,-118.33004
90505,16935.0,33.81052,-118.35057999999998
90601,13067.0,48.74627,17.340489999999996
90602,7590.0,48.67896,17.25096
90603,6827.0,48.70533,17.28243
90604,17170.0,48.74763,17.35298
90605,18442.0,48.740570000000005,17.41009
90606,12660.0,48.79821,17.47241
90620,23504.0,33.84288,-118.011
90621,15947.0,48.72858,17.61499
90622,229.0,48.77733,17.60653
90623,4757.0,48.75786999999999,17.62921
90630,26207.0,33.8168,-118.03909
90631,38181.0,48.65861,17.40809
90638,25061.0,48.45856,17.16707
90640,38092.0,34.01484,-118.11366
90650,59464.0,33.90599,-118.08327
90660,32433.0,33.98809,-118.08921
90670,9905.0,33.93795,-118.07087
90680,12408.0,33.80096,-117.99642999999999
90701,3933.0,48.75398,17.56834
90703,30562.0,48.74868000000001,17.52828
90704,168.0,33.35748,-118.36033
90706,39277.0,33.88886,-118.1275
90710,8836.0,33.79814,-118.30043
90712,12943.0,33.85099,-118.14661
90713,11579.0,33.84788,-118.11275
90715,5700.0,33.84026,-118.07804999999999
90716,2861.0,48.76764,17.56592
90717,6063.0,33.79394,-118.31705
90720,9028.0,33.79499,-118.07104
90723,24100.0,33.89758,-118.16325
90732,6197.0,33.73849,-118.31151
90740,9585.0,33.76185,-118.08223999999998
90744,24042.0,33.78531,-118.2614
90745,30786.0,33.82315,-118.26858000000001
90746,11135.0,33.85983,-118.25655
90749,92.0,63.81082,20.32228
90755,2569.0,33.80075,-118.16682
90801,13.0,48.66004,17.02417
90802,10721.0,33.76845,-118.18682
90803,11156.0,33.76153,-118.13102
90804,10543.0,33.78216,-118.15211
90805,44637.0,33.86448,-118.17877
90806,15087.0,33.80186,-118.19070999999998
90807,12064.0,33.83148,-118.18099
90808,18225.0,33.82325,-118.11112
90810,14354.0,33.81563,-118.21625
90813,15797.0,33.78216,-118.18927
90814,3949.0,33.77127,-118.14554
90815,17333.0,33.79511,-118.1182
91001,14517.0,1.27961,103.81779
91006,15006.0,30.51289,47.82705
91007,13216.0,34.12684,-118.05057999999998
91008,15.0,48.87441,18.04271
